study_id,study_name,gene,med_amp_exp,n,n_amp,n_gain,n_dipl,n_loss,n_del,freq_amp,freq_gain,freq_dipl,freq_loss,freq_del
brca_tcga_pub2015,"Breast Invasive Carcinoma (TCGA, Cell 2015)",UBE2V2,4.0244,816,53,398,357,61,1,0.06495098039215687,0.4877450980392157,0.4375,0.07475490196078431,0.0012254901960784314
cesc_tcga,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA, Provisional)",HLTF,1.5659,295,36,207,82,6,0,0.12203389830508475,0.7016949152542373,0.27796610169491526,0.020338983050847456,0
cesc_tcga,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA, Provisional)",RAD18,2.58225,295,2,35,150,110,4,0.006779661016949152,0.11864406779661017,0.5084745762711864,0.3728813559322034,0.013559322033898305
cesc_tcga,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA, Provisional)",UBE2A,4.33295,295,2,49,186,60,0,0.006779661016949152,0.16610169491525423,0.6305084745762712,0.2033898305084746,0
cesc_tcga,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA, Provisional)",UBE2B,NA,295,0,28,200,67,1,0,0.09491525423728814,0.6779661016949152,0.2271186440677966,0.003389830508474576
cesc_tcga,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA, Provisional)",UBE2N,NA,295,0,46,226,23,1,0,0.15593220338983052,0.7661016949152543,0.07796610169491526,0.003389830508474576
cesc_tcga,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA, Provisional)",UBE2V2,5.8272,295,3,80,190,25,0,0.010169491525423728,0.2711864406779661,0.6440677966101694,0.0847457627118644,0
chol_tcga,"Cholangiocarcinoma (TCGA, Provisional)",HLTF,NA,36,0,8,24,4,0,0,0.2222222222222222,0.6666666666666666,0.1111111111111111,0
chol_tcga,"Cholangiocarcinoma (TCGA, Provisional)",UBE2A,NA,36,0,2,19,15,0,0,0.05555555555555555,0.5277777777777778,0.4166666666666667,0
chol_tcga,"Cholangiocarcinoma (TCGA, Provisional)",UBE2B,1.9147,36,1,12,21,3,0,0.027777777777777776,0.3333333333333333,0.5833333333333334,0.08333333333333333,0
chol_tcga,"Cholangiocarcinoma (TCGA, Provisional)",UBE2N,NA,36,0,8,21,7,0,0,0.2222222222222222,0.5833333333333334,0.19444444444444445,0
chol_tcga,"Cholangiocarcinoma (TCGA, Provisional)",UBE2V2,NA,36,0,9,22,5,0,0,0.25,0.6111111111111112,0.1388888888888889,0
coadread_tcga,"Colorectal Adenocarcinoma (TCGA, Provisional)",HLTF,NA,616,0,104,468,44,0,0,0.16883116883116883,0.7597402597402597,0.07142857142857142,0
coadread_tcga,"Colorectal Adenocarcinoma (TCGA, Provisional)",RAD18,NA,616,0,62,464,90,2,0,0.10064935064935066,0.7532467532467533,0.1461038961038961,0.003246753246753247
coadread_tcga,"Colorectal Adenocarcinoma (TCGA, Provisional)",UBE2A,2.1436,616,1,120,419,77,1,0.0016233766233766235,0.19480519480519481,0.6801948051948052,0.125,0.0016233766233766235
coadread_tcga,"Colorectal Adenocarcinoma (TCGA, Provisional)",UBE2B,NA,616,0,54,414,148,2,0,0.08766233766233766,0.672077922077922,0.24025974025974026,0.003246753246753247
coadread_tcga,"Colorectal Adenocarcinoma (TCGA, Provisional)",UBE2N,NA,616,0,108,420,88,1,0,0.17532467532467533,0.6818181818181818,0.14285714285714285,0.0016233766233766235
coadread_tcga,"Colorectal Adenocarcinoma (TCGA, Provisional)",UBE2V2,3.6347,616,16,308,265,43,0,0.025974025974025976,0.5,0.4301948051948052,0.0698051948051948,0
dlbc_tcga,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma (TCGA, Provisional)",HLTF,0.7258,48,2,13,30,5,1,0.041666666666666664,0.2708333333333333,0.625,0.10416666666666667,0.020833333333333332
dlbc_tcga,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma (TCGA, Provisional)",RAD18,NA,48,0,11,33,4,0,0,0.22916666666666666,0.6875,0.08333333333333333,0
dlbc_tcga,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma (TCGA, Provisional)",UBE2A,0.4845,48,1,4,38,6,0,0.020833333333333332,0.08333333333333333,0.7916666666666666,0.125,0
dlbc_tcga,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma (TCGA, Provisional)",UBE2B,NA,48,0,7,40,1,0,0,0.14583333333333334,0.8333333333333334,0.020833333333333332,0
dlbc_tcga,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma (TCGA, Provisional)",UBE2N,NA,48,0,10,35,3,0,0,0.20833333333333334,0.7291666666666666,0.0625,0
dlbc_tcga,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma (TCGA, Provisional)",UBE2V2,NA,48,0,6,35,7,1,0,0.125,0.7291666666666666,0.14583333333333334,0.020833333333333332
esca_tcga,"Esophageal Carcinoma (TCGA, Provisional)",HLTF,1.928,184,27,112,59,13,1,0.14673913043478262,0.6086956521739131,0.32065217391304346,0.07065217391304347,0.005434782608695652
esca_tcga,"Esophageal Carcinoma (TCGA, Provisional)",RAD18,1.2067999999999999,184,4,21,60,103,2,0.021739130434782608,0.11413043478260869,0.32608695652173914,0.5597826086956522,0.010869565217391304
esca_tcga,"Esophageal Carcinoma (TCGA, Provisional)",UBE2A,0.8577,184,2,59,99,26,0,0.010869565217391304,0.32065217391304346,0.5380434782608695,0.14130434782608695,0
esca_tcga,"Esophageal Carcinoma (TCGA, Provisional)",UBE2B,NA,184,0,9,80,95,1,0,0.04891304347826087,0.43478260869565216,0.5163043478260869,0.005434782608695652
esca_tcga,"Esophageal Carcinoma (TCGA, Provisional)",UBE2N,4.3369,184,1,37,99,48,0,0.005434782608695652,0.20108695652173914,0.5380434782608695,0.2608695652173913,0
esca_tcga,"Esophageal Carcinoma (TCGA, Provisional)",UBE2V2,0.9278,184,5,97,68,19,0,0.02717391304347826,0.5271739130434783,0.3695652173913043,0.10326086956521739,0
gbm_tcga,"Glioblastoma Multiforme (TCGA, Provisional)",HLTF,4.3785,577,3,71,463,43,3,0.005199306759098787,0.12305025996533796,0.8024263431542461,0.07452339688041594,0.005199306759098787
gbm_tcga,"Glioblastoma Multiforme (TCGA, Provisional)",RAD18,0.0216,577,2,61,472,44,1,0.0034662045060658577,0.10571923743500866,0.8180242634315424,0.07625649913344887,0.0017331022530329288
gbm_tcga,"Glioblastoma Multiforme (TCGA, Provisional)",UBE2A,NA,577,0,24,450,103,0,0,0.0415944540727903,0.779896013864818,0.17850953206239167,0
gbm_tcga,"Glioblastoma Multiforme (TCGA, Provisional)",UBE2B,NA,577,0,43,486,48,1,0,0.07452339688041594,0.8422876949740035,0.0831889081455806,0.0017331022530329288
gbm_tcga,"Glioblastoma Multiforme (TCGA, Provisional)",UBE2N,NA,577,0,43,474,60,1,0,0.07452339688041594,0.8214904679376083,0.10398613518197573,0.0017331022530329288
gbm_tcga,"Glioblastoma Multiforme (TCGA, Provisional)",UBE2V2,NA,577,1,53,474,50,1,0.0017331022530329288,0.09185441941074524,0.8214904679376083,0.08665511265164645,0.0017331022530329288
gbm_tcga_pub2013,"Glioblastoma (TCGA, Cell 2013)",HLTF,3.6879,563,3,69,453,41,3,0.0053285968028419185,0.12255772646536411,0.8046181172291297,0.07282415630550622,0.0053285968028419185
gbm_tcga_pub2013,"Glioblastoma (TCGA, Cell 2013)",RAD18,-0.4016,563,2,56,467,40,0,0.003552397868561279,0.0994671403197158,0.8294849023090586,0.07104795737122557,0
gbm_tcga_pub2013,"Glioblastoma (TCGA, Cell 2013)",UBE2A,NA,563,0,27,426,110,0,0,0.047957371225577264,0.7566607460035524,0.19538188277087035,0
gbm_tcga_pub2013,"Glioblastoma (TCGA, Cell 2013)",UBE2B,NA,563,0,41,476,46,1,0,0.07282415630550622,0.8454706927175843,0.08170515097690942,0.0017761989342806395
gbm_tcga_pub2013,"Glioblastoma (TCGA, Cell 2013)",UBE2N,NA,563,0,43,459,61,1,0,0.0763765541740675,0.8152753108348135,0.108348134991119,0.0017761989342806395
gbm_tcga_pub2013,"Glioblastoma (TCGA, Cell 2013)",UBE2V2,NA,563,0,48,463,52,1,0,0.0852575488454707,0.822380106571936,0.09236234458259325,0.0017761989342806395
hnsc_tcga,"Head and Neck Squamous Cell Carcinoma (TCGA, Provisional)",HLTF,2.1870000000000003,522,74,348,165,9,0,0.1417624521072797,0.6666666666666666,0.3160919540229885,0.017241379310344827,0
hnsc_tcga,"Head and Neck Squamous Cell Carcinoma (TCGA, Provisional)",RAD18,8.9924,522,2,25,145,352,2,0.0038314176245210726,0.04789272030651341,0.2777777777777778,0.6743295019157088,0.0038314176245210726
hnsc_tcga,"Head and Neck Squamous Cell Carcinoma (TCGA, Provisional)",UBE2A,2.7277500000000003,522,6,121,338,63,3,0.011494252873563218,0.23180076628352492,0.6475095785440613,0.1206896551724138,0.005747126436781609
hnsc_tcga,"Head and Neck Squamous Cell Carcinoma (TCGA, Provisional)",UBE2B,3.9786,522,1,35,283,204,1,0.0019157088122605363,0.06704980842911877,0.5421455938697318,0.39080459770114945,0.0019157088122605363
hnsc_tcga,"Head and Neck Squamous Cell Carcinoma (TCGA, Provisional)",UBE2N,NA,522,0,74,392,56,0,0,0.1417624521072797,0.7509578544061303,0.10727969348659004,0
hnsc_tcga,"Head and Neck Squamous Cell Carcinoma (TCGA, Provisional)",UBE2V2,2.462,522,30,309,185,28,0,0.05747126436781609,0.5919540229885057,0.3544061302681992,0.05363984674329502,0
hnsc_tcga_pub,"Head and Neck Squamous Cell Carcinoma (TCGA, Nature 2015)",HLTF,1.70425,279,40,199,77,3,0,0.14336917562724014,0.7132616487455197,0.27598566308243727,0.010752688172043012,0
hnsc_tcga_pub,"Head and Neck Squamous Cell Carcinoma (TCGA, Nature 2015)",RAD18,9.3552,279,1,9,67,203,2,0.0035842293906810036,0.03225806451612903,0.24014336917562723,0.7275985663082437,0.007168458781362007
hnsc_tcga_pub,"Head and Neck Squamous Cell Carcinoma (TCGA, Nature 2015)",UBE2A,1.7693,279,6,74,167,38,2,0.021505376344086023,0.26523297491039427,0.5985663082437276,0.13620071684587814,0.007168458781362007
hnsc_tcga_pub,"Head and Neck Squamous Cell Carcinoma (TCGA, Nature 2015)",UBE2B,NA,279,0,15,152,112,1,0,0.053763440860215055,0.5448028673835126,0.4014336917562724,0.0035842293906810036
hnsc_tcga_pub,"Head and Neck Squamous Cell Carcinoma (TCGA, Nature 2015)",UBE2N,NA,279,0,39,206,34,0,0,0.13978494623655913,0.7383512544802867,0.12186379928315412,0
hnsc_tcga_pub,"Head and Neck Squamous Cell Carcinoma (TCGA, Nature 2015)",UBE2V2,2.6944,279,15,161,100,18,0,0.053763440860215055,0.5770609318996416,0.35842293906810035,0.06451612903225806,0
kich_tcga,"Kidney Chromophobe (TCGA, Provisional)",HLTF,NA,66,0,7,51,8,0,0,0.10606060606060606,0.7727272727272727,0.12121212121212122,0
kich_tcga,"Kidney Chromophobe (TCGA, Provisional)",RAD18,NA,66,0,8,48,10,0,0,0.12121212121212122,0.7272727272727273,0.15151515151515152,0
kich_tcga,"Kidney Chromophobe (TCGA, Provisional)",UBE2A,NA,66,0,8,19,39,0,0,0.12121212121212122,0.2878787878787879,0.5909090909090909,0
kich_tcga,"Kidney Chromophobe (TCGA, Provisional)",UBE2B,NA,66,0,8,49,9,0,0,0.12121212121212122,0.7424242424242424,0.13636363636363635,0
kich_tcga,"Kidney Chromophobe (TCGA, Provisional)",UBE2N,NA,66,0,20,43,3,0,0,0.30303030303030304,0.6515151515151515,0.045454545454545456,0
kich_tcga,"Kidney Chromophobe (TCGA, Provisional)",UBE2V2,2.5303,66,1,19,37,10,0,0.015151515151515152,0.2878787878787879,0.5606060606060606,0.15151515151515152,0
kich_tcga_pub,"Kidney Chromophobe (TCGA, Cancer Cell 2014)",HLTF,NA,66,0,7,51,8,0,0,0.10606060606060606,0.7727272727272727,0.12121212121212122,0
kich_tcga_pub,"Kidney Chromophobe (TCGA, Cancer Cell 2014)",RAD18,NA,66,0,8,48,10,0,0,0.12121212121212122,0.7272727272727273,0.15151515151515152,0
kich_tcga_pub,"Kidney Chromophobe (TCGA, Cancer Cell 2014)",UBE2A,NA,66,0,7,20,39,0,0,0.10606060606060606,0.30303030303030304,0.5909090909090909,0
kich_tcga_pub,"Kidney Chromophobe (TCGA, Cancer Cell 2014)",UBE2B,NA,66,0,8,49,9,0,0,0.12121212121212122,0.7424242424242424,0.13636363636363635,0
kich_tcga_pub,"Kidney Chromophobe (TCGA, Cancer Cell 2014)",UBE2N,NA,66,0,20,43,3,0,0,0.30303030303030304,0.6515151515151515,0.045454545454545456,0
kich_tcga_pub,"Kidney Chromophobe (TCGA, Cancer Cell 2014)",UBE2V2,2.5303,66,1,19,37,10,0,0.015151515151515152,0.2878787878787879,0.5606060606060606,0.15151515151515152,0
kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",HLTF,0.52285,528,4,78,377,73,0,0.007575757575757576,0.14772727272727273,0.7140151515151515,0.13825757575757575,0
kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",RAD18,NA,528,0,7,60,461,56,0,0.013257575757575758,0.11363636363636363,0.8731060606060606,0.10606060606060606
kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",UBE2A,2.372,528,2,28,453,47,0,0.003787878787878788,0.05303030303030303,0.8579545454545454,0.08901515151515152,0
kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",UBE2B,0.6936,528,72,314,207,7,0,0.13636363636363635,0.5946969696969697,0.39204545454545453,0.013257575757575758,0
kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",UBE2N,NA,528,0,122,399,7,0,0,0.23106060606060605,0.7556818181818182,0.013257575757575758,0
kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",UBE2V2,4.78015,528,2,61,385,82,2,0.003787878787878788,0.11553030303030302,0.7291666666666666,0.1553030303030303,0.003787878787878788
kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",HLTF,0.6649499999999999,436,2,59,312,65,0,0.0045871559633027525,0.1353211009174312,0.7155963302752294,0.14908256880733944,0
kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",RAD18,NA,436,0,1,35,400,16,0,0.0022935779816513763,0.08027522935779817,0.9174311926605505,0.03669724770642202
kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",UBE2A,1.9446,436,4,20,384,32,0,0.009174311926605505,0.045871559633027525,0.8807339449541285,0.07339449541284404,0
kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",UBE2B,1.3168,436,19,275,157,4,0,0.04357798165137615,0.6307339449541285,0.36009174311926606,0.009174311926605505,0
kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",UBE2N,NA,436,0,106,325,5,0,0,0.24311926605504589,0.7454128440366973,0.011467889908256881,0
kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",UBE2V2,4.80805,436,3,51,317,68,2,0.006880733944954129,0.11697247706422019,0.7270642201834863,0.1559633027522936,0.0045871559633027525
kirp_tcga,"Kidney Renal Papillary Cell Carcinoma (TCGA, Provisional)",HLTF,NA,288,0,96,184,8,0,0,0.3333333333333333,0.6388888888888888,0.027777777777777776,0
kirp_tcga,"Kidney Renal Papillary Cell Carcinoma (TCGA, Provisional)",RAD18,NA,288,0,72,193,23,0,0,0.25,0.6701388888888888,0.0798611111111111,0
kirp_tcga,"Kidney Renal Papillary Cell Carcinoma (TCGA, Provisional)",UBE2A,NA,288,0,96,162,30,0,0,0.3333333333333333,0.5625,0.10416666666666667,0
kirp_tcga,"Kidney Renal Papillary Cell Carcinoma (TCGA, Provisional)",UBE2B,2.53025,288,2,35,242,11,0,0.006944444444444444,0.12152777777777778,0.8402777777777778,0.03819444444444445,0
kirp_tcga,"Kidney Renal Papillary Cell Carcinoma (TCGA, Provisional)",UBE2N,NA,288,0,113,175,0,0,0,0.3923611111111111,0.6076388888888888,0,0
kirp_tcga,"Kidney Renal Papillary Cell Carcinoma (TCGA, Provisional)",UBE2V2,NA,288,0,21,257,10,0,0,0.07291666666666667,0.8923611111111112,0.034722222222222224,0
laml_tcga,"Acute Myeloid Leukemia (TCGA, Provisional)",HLTF,NA,191,0,1,187,3,0,0,0.005235602094240838,0.9790575916230366,0.015706806282722512,0
laml_tcga,"Acute Myeloid Leukemia (TCGA, Provisional)",RAD18,NA,191,0,1,186,4,0,0,0.005235602094240838,0.9738219895287958,0.020942408376963352,0
laml_tcga,"Acute Myeloid Leukemia (TCGA, Provisional)",UBE2A,NA,191,0,2,183,6,0,0,0.010471204188481676,0.9581151832460733,0.031413612565445025,0
laml_tcga,"Acute Myeloid Leukemia (TCGA, Provisional)",UBE2B,NA,191,0,0,174,17,6,0,0,0.9109947643979057,0.08900523560209424,0.031413612565445025
laml_tcga,"Acute Myeloid Leukemia (TCGA, Provisional)",UBE2N,NA,191,0,0,188,3,1,0,0,0.9842931937172775,0.015706806282722512,0.005235602094240838
laml_tcga,"Acute Myeloid Leukemia (TCGA, Provisional)",UBE2V2,1.5594,191,1,23,168,0,0,0.005235602094240838,0.12041884816753927,0.8795811518324608,0,0
laml_tcga_pub,"Acute Myeloid Leukemia (TCGA, NEJM 2013)",HLTF,NA,191,0,1,187,3,0,0,0.005235602094240838,0.9790575916230366,0.015706806282722512,0
laml_tcga_pub,"Acute Myeloid Leukemia (TCGA, NEJM 2013)",RAD18,NA,191,0,1,186,4,0,0,0.005235602094240838,0.9738219895287958,0.020942408376963352,0
laml_tcga_pub,"Acute Myeloid Leukemia (TCGA, NEJM 2013)",UBE2A,NA,191,0,2,183,6,0,0,0.010471204188481676,0.9581151832460733,0.031413612565445025,0
laml_tcga_pub,"Acute Myeloid Leukemia (TCGA, NEJM 2013)",UBE2B,NA,191,0,0,174,17,5,0,0,0.9109947643979057,0.08900523560209424,0.02617801047120419
laml_tcga_pub,"Acute Myeloid Leukemia (TCGA, NEJM 2013)",UBE2N,NA,191,0,0,188,3,1,0,0,0.9842931937172775,0.015706806282722512,0.005235602094240838
laml_tcga_pub,"Acute Myeloid Leukemia (TCGA, NEJM 2013)",UBE2V2,1.5594,191,1,23,168,0,0,0.005235602094240838,0.12041884816753927,0.8795811518324608,0,0
lgg_tcga,"Brain Lower Grade Glioma (TCGA, Provisional)",HLTF,NA,513,0,8,469,36,1,0,0.015594541910331383,0.9142300194931774,0.07017543859649122,0.001949317738791423
lgg_tcga,"Brain Lower Grade Glioma (TCGA, Provisional)",RAD18,0.40885000000000005,513,4,24,459,30,1,0.007797270955165692,0.04678362573099415,0.8947368421052632,0.05847953216374269,0.001949317738791423
lgg_tcga,"Brain Lower Grade Glioma (TCGA, Provisional)",UBE2A,0.1947,513,4,42,393,78,1,0.007797270955165692,0.08187134502923976,0.7660818713450293,0.15204678362573099,0.001949317738791423
lgg_tcga,"Brain Lower Grade Glioma (TCGA, Provisional)",UBE2B,2.2192,513,1,8,459,46,3,0.001949317738791423,0.015594541910331383,0.8947368421052632,0.08966861598440545,0.005847953216374269
lgg_tcga,"Brain Lower Grade Glioma (TCGA, Provisional)",UBE2N,NA,513,0,10,438,65,4,0,0.01949317738791423,0.8538011695906432,0.1267056530214425,0.007797270955165692
lgg_tcga,"Brain Lower Grade Glioma (TCGA, Provisional)",UBE2V2,-1.0922,513,1,45,457,11,0,0.001949317738791423,0.08771929824561403,0.8908382066276803,0.021442495126705652,0
lihc_tcga,"Liver Hepatocellular Carcinoma (TCGA, Provisional)",HLTF,1.5096,370,5,60,270,40,0,0.013513513513513514,0.16216216216216217,0.7297297297297297,0.10810810810810811,0
lihc_tcga,"Liver Hepatocellular Carcinoma (TCGA, Provisional)",RAD18,4.9138,370,2,44,277,49,0,0.005405405405405406,0.11891891891891893,0.7486486486486487,0.13243243243243244,0
lihc_tcga,"Liver Hepatocellular Carcinoma (TCGA, Provisional)",UBE2A,1.97145,370,4,74,234,62,0,0.010810810810810811,0.2,0.6324324324324324,0.16756756756756758,0
lihc_tcga,"Liver Hepatocellular Carcinoma (TCGA, Provisional)",UBE2B,2.626,370,4,115,209,46,0,0.010810810810810811,0.3108108108108108,0.5648648648648649,0.12432432432432433,0
lihc_tcga,"Liver Hepatocellular Carcinoma (TCGA, Provisional)",UBE2N,4.94125,370,2,53,275,42,0,0.005405405405405406,0.14324324324324325,0.7432432432432432,0.11351351351351352,0
lihc_tcga,"Liver Hepatocellular Carcinoma (TCGA, Provisional)",UBE2V2,5.1182,370,23,153,167,50,0,0.062162162162162166,0.4135135135135135,0.45135135135135135,0.13513513513513514,0
luad_tcga,"Lung Adenocarcinoma (TCGA, Provisional)",HLTF,3.0834,516,11,130,269,117,1,0.02131782945736434,0.25193798449612403,0.5213178294573644,0.22674418604651161,0.001937984496124031
luad_tcga,"Lung Adenocarcinoma (TCGA, Provisional)",RAD18,5.2465,516,1,39,247,230,2,0.001937984496124031,0.0755813953488372,0.4786821705426357,0.44573643410852715,0.003875968992248062
luad_tcga,"Lung Adenocarcinoma (TCGA, Provisional)",UBE2A,0.9378,516,8,119,342,55,1,0.015503875968992248,0.23062015503875968,0.6627906976744186,0.1065891472868217,0.001937984496124031
luad_tcga,"Lung Adenocarcinoma (TCGA, Provisional)",UBE2B,NA,516,0,83,222,211,4,0,0.16085271317829458,0.43023255813953487,0.40891472868217055,0.007751937984496124
luad_tcga,"Lung Adenocarcinoma (TCGA, Provisional)",UBE2N,5.8096,516,1,120,272,124,2,0.001937984496124031,0.23255813953488372,0.5271317829457365,0.24031007751937986,0.003875968992248062
luad_tcga,"Lung Adenocarcinoma (TCGA, Provisional)",UBE2V2,5.6082,516,16,233,220,63,1,0.031007751937984496,0.45155038759689925,0.4263565891472868,0.12209302325581395,0.001937984496124031
